"tract","Name","Household_Income_rP_gP_p25"
24005403803,"Pikesville, MD",69429
24005491000,"Baltimore, MD",61635
24027602100,"Ellicott City, MD",56266
24027602304,"Ellicott City, MD",55559
24027602305,"Ellicott City, MD",55389
24005411309,"Perry Hall, MD",54068
24005403601,"Baltimore, MD",53687
24005403500,"Pikesville, MD",51834
24027602202,"Ellicott City, MD",51483
24005490601,"Baltimore, MD",51258
24005490603,"Baltimore, MD",51212
24005490602,"Baltimore, MD",50819
24005400100,"Catonsville, MD",50638
24510271400,"Evergreen, Baltimore, MD",50567
24027601104,"Ellicott City, MD",49918
24005490701,"Towson, MD",49522
24005491900,"Parkville, MD",48558
24005403602,"Baltimore, MD",48514
24005490703,"Towson, MD",48407
24005411410,"Parkville, MD",47870
24005403802,"Pikesville, MD",47561
24510271501,"Mount Washington, Baltimore, MD",46323
24005440500,"Nottingham, MD",46312
24005491100,"Baltimore, MD",45880
24005400400,"Catonsville, MD",45826
24005490500,"Towson, MD",45108
24510020300,"Fells Point, Baltimore, MD",44668
24005490800,"Towson, MD",44486
24005403701,"Owings Mills, MD",44085
24005411308,"Nottingham, MD",44054
24027602700,"Taylor Village, Ellicott City, MD",44006
24027602302,"Columbia, MD",43761
24510240200,"Riverside, Baltimore, MD",43352
24005430600,"Relay, Halethorpe, MD",43097
24027601105,"Ellicott City, MD",42616
24005411303,"Nottingham, MD",42536
24005411307,"Nottingham, MD",42046
24005492102,"Parkville, MD",42033
24005440200,"Nottingham, MD",41923
24027601103,"West Elkridge, Elkridge, MD",41883
24027606601,"Oakland Mills, Columbia, MD",41805
24005492002,"Parkville, MD",41597
24005401400,"Catonsville, MD",41320
24005492001,"Parkville, MD",41238
24027602306,"Dunloggin, Ellicott City, MD",41205
24027602600,"Ellicott City, MD",41198
24027601108,"Ellicott City, MD",41139
24005402201,"Randallstown, MD",40572
24005441101,"Rosedale, MD",40134
24510271200,"Homeland, Baltimore, MD",40094
24005491201,"Towson, MD",39638
24003750400,"Linthicum Heights, MD",39401
24027602800,"Ellicott City, MD",39274
24005491500,"Parkville, MD",39085
24005403402,"Pikesville, MD",39061
24027606704,"Owen Brown, Columbia, MD",38873
24027606705,"Owen Brown, Columbia, MD",38820
24005411306,"Nottingham, MD",38770
24510270703,"North Harford Road, Baltimore, MD",38676
24027606604,"Columbia, MD",38531
24005492402,"Owings Mills, MD",38356
24003740103,"Hanover, MD",38132
24027606804,"Kings Contrivance, Columbia, MD",38117
24005401503,"Catonsville, MD",37794
24005492200,"Parkville, MD",37583
24005450900,"Essex, MD",37489
24027602900,"Normandy, Ellicott City, MD",37425
24005430800,"Halethorpe, MD",37322
24005492101,"Parkville, MD",37121
24005403401,"Pikesville, MD",37075
24027601204,"Elkridge, MD",36908
24003740102,"Hanover, MD",36717
24005411407,"Parkville, MD",36579
24510120202,"Baltimore, MD",36568
24025301402,"Harford County, MD",36506
24005411408,"Nottingham, MD",36498
24005451000,"Essex, MD",36385
24027606905,"Savage, Savage, MD",36362
24510272004,"Cheswolde, Baltimore, MD",36163
24005400500,"Catonsville, MD",35921
24005420702,"Dundalk, MD",35853
24005400701,"Catonsville, MD",35840
24005452400,"Dundalk, MD",35639
24005403300,"Lochearn, Pikesville, MD",35578
24005440702,"Rosedale, MD",35490
24005440800,"Rosedale, MD",35428
24027605401,"Dorsey's Search, Columbia, MD",35313
24027606603,"Oakland Mills, Columbia, MD",35310
24005403702,"Pikesville, MD",35248
24005450100,"Rosedale, MD",35113
24005430900,"Baltimore, MD",34996
24005420100,"Dundalk, MD",34927
24005491600,"Parkville, MD",34830
24005401000,"Catonsville, MD",34809
24003751400,"Severn, MD",34791
24005401505,"Catonsville, MD",34754
24005491202,"Towson, MD",34588
24005401504,"Catonsville, MD",34507
24003750900,"Glen Burnie, MD",34467
24005402509,"Owings Mills, MD",34408
24027606606,"Long Reach, Columbia, MD",34342
24005430400,"Halethorpe, MD",34246
24005440100,"Baltimore, MD",34200
24027606706,"Kendall Ridge, Columbia, MD",34195
24510010400,"Canton, Baltimore, MD",34132
24003731308,"Pasadena, MD",34007
24005451900,"Edgemere, MD",33999
24003750801,"Glen Burnie, MD",33927
24005451802,"Middle River, MD",33855
24005451200,"Middle River, MD",33843
24005400900,"Catonsville, MD",33799
24005420500,"Baltimore, MD",33766
24005451701,"Middle River, MD",33665
24005411302,"White Marsh, MD",33581
24005400800,"Catonsville, MD",33531
24510270501,"Woodring, Baltimore, MD",33519
24005420701,"Dundalk, MD",33279
24003731306,"Pasadena, MD",33164
24005490900,"Towson, MD",33066
24005402407,"Windsor Mill, Milford Mill, MD",33050
24005440400,"Baltimore, MD",33040
24005440300,"Nottingham, MD",33015
24005420200,"Dundalk, MD",32947
24005411404,"Parkville, MD",32923
24005430700,"Halethorpe, MD",32847
24027605402,"Columbia, MD",32750
24003740201,"South Gate, Glen Burnie, MD",32730
24510272005,"Cross Country, Baltimore, MD",32568
24003751200,"Linthicum Heights, MD",32528
24510270302,"Waltherson, Baltimore, MD",32441
24005492401,"Owings Mills, MD",32393
24005420600,"Baltimore, MD",32390
24005441102,"Rosedale, MD",32314
24005400200,"Catonsville, MD",32288
24005491300,"Baltimore, MD",32262
24003730401,"Glen Burnie, MD",32200
24003731309,"Riviera Beach, MD",32199
24003750804,"Glen Burnie, MD",32154
24005401506,"Windsor Mill, Baltimore, MD",32108
24510270502,"North Harford Road, Baltimore, MD",32037
24005440900,"Rosedale, MD",32036
24027601201,"Elkridge, MD",32014
24510250103,"Violetville, Baltimore, MD",31884
24005451702,"Middle River, MD",31876
24027606901,"Savage, Jessup, MD",31870
24003750300,"Linthicum Heights, MD",31859
24510270804,"Lake Walker, Baltimore, MD",31797
24005402603,"Randallstown, MD",31790
24027606607,"Long Reach, Columbia, MD",31669
24027601107,"Waterloo, Elkridge, MD",31645
24005420800,"Dundalk, MD",31396
24005450300,"Essex, MD",31361
24003751103,"Glen Burnie, MD",31251
24025301401,"Harford County, MD",30973
