"tract","Name","Household_Income_rP_gP_p75"
27053023902,"Minneapolis, MN",78297
27053005901,"Central Minneapolis, Minneapolis, MN",75696
27053023903,"Edina, MN",72165
27053026509,"Minneapolis, MN",70969
27053023700,"Countryside, Minneapolis, MN",70857
27123041700,"Roseville, MN",70269
27053023100,"Morningside, Minneapolis, MN",68794
27053026605,"Minneapolis, MN",68751
27053024006,"Minneapolis, MN",68384
27037060603,"Mendota Heights, MN",67384
27123041104,"New Brighton, MN",67226
27053027101,"Hamel, Medina, MN",66982
27123033200,"South St. Anthony, Saint Paul, MN",66469
27053027201,"Orono, MN",66465
27053023502,"Edina, MN",66374
27053024801,"Richfield, MN",66333
27123042301,"Maplewood, MN",66319
27123041103,"Minneapolis, MN",66313
27037060605,"Mendota Heights, MN",66057
27053026715,"Maple Grove, MN",65920
27053026208,"Minnetonka, MN",65896
27053023802,"Chowen Park, Edina, MN",65791
27053026610,"Plymouth, MN",65715
27123040703,"Shoreview, MN",65698
27053026014,"Eden Prairie, MN",65673
27053026613,"Plymouth, MN",65616
27053026508,"Minneapolis, MN",65553
27019090602,"Chanhassen, MN",65460
27123042102,"Little Canada, MN",65336
27123040801,"Arden Hills, MN",65118
27037060606,"Mendota Heights, MN",65064
27123033100,"Dayton's Bluff, Saint Paul, MN",65017
27053022801,"Fern Hill, Minneapolis, MN",64952
27123031300,"North End, Saint Paul, MN",64560
27123041602,"Roseville, MN",64555
27053026404,"Hopkins, MN",64466
27123040803,"Arden Hills, MN",64418
27053026201,"Minnetonka, MN",64390
27053105100,"Bryn Mawr, Minneapolis, MN",64351
27123042302,"Maplewood, MN",64340
27053026606,"Plymouth, MN",64057
27053024200,"Minneapolis, MN",63956
27053001100,"Northeast Minneapolis, Minneapolis, MN",63920
27053103400,"Sumner-Glenwood, Minneapolis, MN",63701
27037060103,"West Saint Paul, MN",63616
27053026013,"Eden Prairie, MN",63550
27053023901,"Minneapolis, MN",63509
27053026101,"Hopkins, MN",63499
27123041301,"Roseville, MN",63392
27123041500,"Roseville, MN",63355
