tract,Name,Household_Income_rP_gP_p25
27053023902,"Minneapolis, MN",70217
27053026022,"Eden Prairie, MN",68747
27053023100,"Morningside, Minneapolis, MN",68298
27053106600,"Calhoun Isles, Minneapolis, MN",63453
27019090502,"Chanhassen, MN",61131
27123040601,"North Oaks, MN",58936
27163070301,"Saint Paul, MN",58721
27053024005,"Minneapolis, MN",58645
27053023700,"Countryside, Minneapolis, MN",58560
27053022801,"Fern Hill, Minneapolis, MN",58316
27019090503,"Excelsior, MN",57525
27053024006,"Minneapolis, MN",55908
27019090701,"Chanhassen, MN",55061
27053026021,"Eden Prairie, MN",54271
27053026605,"Minneapolis, MN",53946
27123035000,"Merriam Park, Saint Paul, MN",53809
27053026508,"Minneapolis, MN",53662
27037060606,"Mendota Heights, MN",53653
27053026208,"Minnetonka, MN",53277
27037060603,"Mendota Heights, MN",53206
27053023802,"Chowen Park, Edina, MN",53055
27053026509,"Minneapolis, MN",52834
27123041104,"New Brighton, MN",52578
27037060605,"Mendota Heights, MN",52397
27123040706,"Shoreview, MN",52010
27053026404,"Hopkins, MN",51882
27053024500,"Minneapolis, MN",51841
27053026201,"Minnetonka, MN",51585
27123040803,"Arden Hills, MN",51276
27123040707,"Shoreview, MN",51221
27053105100,"Bryn Mawr, Minneapolis, MN",50734
27053027101,"Hamel, Medina, MN",50339
27053026018,"Eden Prairie, MN",50337
27053027201,"Orono, MN",50054
27053026812,"Minneapolis, MN",49562
27053109800,"Southwest Minneapolis, Minneapolis, MN",49389
27053026715,"Maple Grove, MN",49378
27123040802,"Saint Paul, MN",49210
27053026606,"Plymouth, MN",48696
27053026609,"Plymouth, MN",48603
27019090501,"Excelsior, MN",48474
27037060729,"Eagan, MN",48355
27053023903,"Edina, MN",48327
27053026013,"Eden Prairie, MN",48218
27019090602,"Chanhassen, MN",48146
27053024100,"Richfield, MN",47836
27053022301,"Minnehaha, Saint Louis Park, MN",47418
27123035100,"Macalester - Groveland, Saint Paul, MN",47396
27053026710,"Osseo, MN",47352
27053105204,"Central Minneapolis, Minneapolis, MN",47275
27123036300,"Macalester - Groveland, Saint Paul, MN",47101
27123041700,"Roseville, MN",47060
27053111400,"Lynnhurst, Minneapolis, MN",47029
27053026006,"Eden Prairie, MN",46991
27053026101,"Hopkins, MN",46944
27053026613,"Plymouth, MN",46846
27163070405,"Lake Elmo, MN",46795
27123042002,"Lauderdale, MN",46761
27123040703,"Shoreview, MN",46670
