tract,tract (text),Name,Household_Income_Low_Minneapolis,Household_Income_High_Income_Minneapolis,Household_Income_Low_Baltimore,Household_Income_High_Baltimore
1,1,"Minneapolis, MN",70217,78297,61635,67867
2,2,"Minneapolis, MN",58645,62268,53687,72321
3,3,"Minneapolis, MN",55908,68384,51258,63814
4,4,"Minneapolis, MN",53946,68751,51212,60709
5,5,"Minneapolis, MN",53662,65553,50819,63092
6,6,"Minneapolis, MN",52834,70969,48514,60236
7,7,"Minneapolis, MN",51841,61132,45880,59721
8,8,"Minneapolis, MN",44538,63509,36568,60146
9,9,"Minneapolis, MN",43529,62988,34996,49391
10,10,"Minneapolis, MN",43108,49768,34200,63630
11,11,"Minneapolis, MN",42894,60618,33766,57786
12,12,"Minneapolis, MN",42835,62382,33040,54976
13,13,"Minneapolis, MN",41857,60791,32390,53186
14,14,"Minneapolis, MN",40965,61530,32262,54377
15,15,"Minneapolis, MN",39957,66313,30650,58598
16,16,"Minneapolis, MN",39650,54163,30261,42030
17,17,"Minneapolis, MN",39586,58746,29347,37860
18,18,"Minneapolis, MN",39148,56730,28787,45177
19,19,"Minneapolis, MN",39046,53512,28306,43774
20,20,"Minneapolis, MN",38960,56611,27467,50144
21,21,"Minneapolis, MN",38119,58118,26990,47180
22,22,"Minneapolis, MN",38080,59480,26149,54559
23,23,"Minneapolis, MN",37589,52226,25705,38359
24,24,"Minneapolis, MN",37459,58556,25295,44428
25,25,"Minneapolis, MN",37119,58490,24621,48770
26,26,"Minneapolis, MN",36951,49003,22703,37582
27,27,"Minneapolis, MN",35870,63956,21714,39479
28,28,"Minneapolis, MN",35841,57200,19900,37037
29,29,"Minneapolis, MN",35177,55143,19360,33959
30,30,"Minneapolis, MN",35164,59876,19162,27539
31,31,"Minneapolis, MN",34919,58154,18931,32526
32,32,"Minneapolis, MN",33532,55225,18460,28908
33,33,"Minneapolis, MN",32883,51180,,
34,34,"Minneapolis, MN",32556,57255,,
35,35,"Minneapolis, MN",32257,58351,,
36,36,"Minneapolis, MN",32238,50831,,
37,37,"Minneapolis, MN",31761,62055,,
38,38,"Minneapolis, MN",31395,54630,,
39,39,"Minneapolis, MN",31379,59739,,
40,40,"Minneapolis, MN",29572,55087,,
41,41,"Minneapolis, MN",28413,48035,,
42,42,"Minneapolis, MN",27793,47844,,
43,43,"Minneapolis, MN",25973,51180,,
44,44,"Minneapolis, MN",25900,62125,,
